,,2030,2030,2040,2040
,,min,max,min,max
country,carrier,,,,
AT,heat_pump-all,3993,6655,9139,25759
BE,heat_pump-all,2568,4280,5878,16567
BG,heat_pump-all,1644,2741,3763,10608
CZ,heat_pump-all,2380,3967,5448,15355
DK,heat_pump-all,5066,8444,8181,30819
EE,heat_pump-all,1934,3223,2919,7272
FI,heat_pump-all,11600,19333,19148,29221
FR,heat_pump-all,49157,81928,88482,317118
DE,heat_pump-all,17055,28425,39035,110024
GR,heat_pump-all,2809,4682,6429,18122
HU,heat_pump-all,503,839,1152,3246
IE,heat_pump-all,1151,1919,2635,7428
IT,heat_pump-all,31492,52487,72078,203162
LT,heat_pump-all,1293,2155,2959,8341
NL,heat_pump-all,5093,8489,11658,32858
NO,heat_pump-all,12685,21142,22174,26495
PL,heat_pump-all,5589,9314,12791,36053
PT,heat_pump-all,2790,4650,6386,17999
SK,heat_pump-all,481,802,1101,3104
SI,heat_pump-all,2776,4627,6354,17911
ES,heat_pump-all,12740,21234,29160,82190
SE,heat_pump-all,17895,29826,29242,47625
CH,heat_pump-all,3775,6292,8641,24355
GB,heat_pump-all,4084,6807,9348,26348
