,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
0,BR-3 1,Nuclear,Steam Turbine,PP,BE,10,,,0,0,0,1962,1962,,1987,51.32472222,4.258747222,,
1,Doel 1,Nuclear,Steam Turbine,PP,BE,433,,,0,0,0,1975,1975,,2025,52.32472222,4.258747222,,
2,Doel 2,Nuclear,Steam Turbine,PP,BE,433,,,0,0,0,1975,1975,,2025,51.32472222,4.258747222,,
3,Doel 3,Nuclear,Steam Turbine,PP,BE,1006,,,0,0,0,1982,1982,,2022,51.32472222,4.258747222,,
4,Doel 4,Nuclear,Steam Turbine,PP,BE,1038,,,0,0,0,1985,1985,,2025,51.32472222,4.258747222,,
5,Tihange 1,Nuclear,Steam Turbine,PP,BE,962,,,0,0,0,1975,1975,,2025,50.53462778,5.272533333,,
6,Tihange 2,Nuclear,Steam Turbine,PP,BE,1038,,,0,0,0,1983,1983,,2023,50.53462778,5.272533333,,
7,Tihange 3,Nuclear,Steam Turbine,PP,BE,1038,,,0,0,0,1985,1985,,2025,50.53462778,5.272533333,,
8,Kosloduj 1,Nuclear,Steam Turbine,PP,BG,408,,,0,0,0,1974,1974,,2002,43.74613889,23.77050556,,
9,Kosloduj 2,Nuclear,Steam Turbine,PP,BG,408,,,0,0,0,1975,1975,,2002,43.74613889,23.77050556,,
10,Kosloduj 3,Nuclear,Steam Turbine,PP,BG,408,,,0,0,0,1981,1981,,2006,43.74613889,23.77050556,,
11,Kosloduj 4,Nuclear,Steam Turbine,PP,BG,408,,,0,0,0,1982,1982,,2006,43.74613889,23.77050556,,
12,Kosloduj 5,Nuclear,Steam Turbine,PP,BG,963,,,0,0,0,1988,1988,,2051,43.74613889,23.77050556,,
13,Kosloduj 6,Nuclear,Steam Turbine,PP,BG,1003,,,0,0,0,1993,1993,,2051,43.74613889,23.77050556,,
14,Biblis  A,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1974,1974,,2011,49.71,8.415277778,,
15,Biblis  B,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1976,1976,,2011,49.71,8.415277778,,
16,Brokdorf  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1986,1986,,2021,53.85083333,9.344722222,,
17,Brunsbüttel  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1976,1976,,2011,53.89166667,9.201666667,,
18,Emsland  –,Nuclear,Steam Turbine,PP,DE,1335,,,0,0,0,1988,1988,,2023,52.47423056,7.317858333,,
19,Grafenrheinfeld  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1981,1981,,2015,49.98408611,10.18466944,,
20,Greifswald  1,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1973,1973,,1990,54.14058611,13.66442222,,
21,Greifswald  2,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1974,1974,,1990,54.14058611,13.66442222,,
22,Greifswald  3,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1977,1977,,1990,54.14058611,13.66442222,,
23,Greifswald  4,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1979,1979,,1990,54.14058611,13.66442222,,
24,Greifswald  5,Nuclear,Steam Turbine,PP,DE,0,,,0,0,0,1989,1989,,1989,54.14058611,13.66442222,,
25,Grohnde  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1984,1984,,2021,52.03527778,9.413333333,,
26,Großwelzheim  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1969,1969,,1971,50.05814167,8.987130556,,
27,Gundremmingen  A,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1966,1966,,1977,48.51472222,10.40222222,,
28,Gundremmingen  B,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1984,1984,,2017,48.51472222,10.40222222,,
29,Gundremmingen  C,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1984,1984,,2021,48.51472222,10.40222222,,
30,Hamm-Uentrop  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1985,1985,,1988,51.67929722,7.971558333,,
31,Isar  2,Nuclear,Steam Turbine,PP,DE,1410,,,0,0,0,1988,1988,,2023,48.60560556,12.29315,,
32,Jülich  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1967,1967,,1988,50.90293611,6.421208333,,
33,Kahl  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1961,1961,,1985,50.05911944,8.987272222,,
34,Karlsruhe  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1978,1978,,1991,49.099344,8.4328866,,
35,Krümmel  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1983,1983,,2011,53.41,10.40888889,,
36,Lingen  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1968,1968,,1979,52.48277778,7.300555556,,
37,Mülheim-Kärlich  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1986,1986,,1988,50.40777778,7.489722222,,
38,Neckarwestheim  2,Nuclear,Steam Turbine,PP,DE,1310,,,0,0,0,1989,1989,,2023,49.04111111,9.175,,
39,Niederaichbach  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1973,1973,,1974,48.60462778,12.30398611,,
40,Obrigheim  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1968,1968,,2005,49.36453611,9.076272222,,
41,Philippsburg  1,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1979,1979,,2011,49.25272222,8.436436111,,
42,Philippsburg  2,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1984,1984,,2019,49.25272222,8.436436111,,
43,Rheinsberg  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1966,1966,,1990,53.14699167,12.99015,,
44,Stade  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1972,1972,,2003,53.62,9.530833333,,
45,Unterweser  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1978,1978,,2011,53.4277,8.480197222,,
46,Würgassen  –,Nuclear,Steam Turbine,PP,DE,135,,,0,0,0,1971,1971,,1994,51.63916667,9.391388889,,
47,Unterweser  –,Nuclear,Steam Turbine,PP,DE,1345,,,0,0,0,1978,1978,,2011,53.4277,8.480197222,,
48,Würgassen  –,Nuclear,Steam Turbine,PP,DE,640,,,0,0,0,1971,1971,,1994,51.63916667,9.391388889,,
49,Loviisa 1,Nuclear,Steam Turbine,PP,FI,507,,,0,0,0,1977,1977,,2027,60.37222222,26.34722222,,
50,Loviisa 2,Nuclear,Steam Turbine,PP,FI,507,,,0,0,0,1981,1981,,2030,60.37222222,26.34722222,,
51,Olkiluoto 1,Nuclear,Steam Turbine,PP,FI,880,,,0,0,0,1979,1979,,2039,61.23666667,21.44222222,,
52,Olkiluoto 2,Nuclear,Steam Turbine,PP,FI,890,,,0,0,0,1982,1982,,2042,61.23666667,21.44222222,,
53,Olkiluoto 3,Nuclear,Steam Turbine,PP,FI,1600,,,0,0,0,2022,,,2051,61.23666667,21.44222222,,
54,Belleville 1,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1987,1987,,2047,47.51027778,2875,,
55,Belleville 2,Nuclear,Steam Turbine,PP,FR,1310,,,0,0,0,1988,1988,,2048,47.51027778,2875,,
56,Blayais 1,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1981,1981,,2041,47.51027778,2875,,
57,Blayais 2,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1982,1982,,2042,47.51027778,2875,,
58,Blayais 3,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1983,1983,,2043,47.51027778,2875,,
59,Blayais 4,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1983,1983,,2043,47.51027778,2875,,
60,Brennilis  –,Nuclear,Steam Turbine,PP,FR,70,,,0,0,0,1967,1967,,1985,47.51027778,2875,,
61,Bugey 1,Nuclear,Steam Turbine,PP,FR,540,,,0,0,0,1972,1972,,1994,45.79722222,5.27,,
62,Bugey 2,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1978,1978,,2038,45.79722222,5.27,,
63,Bugey 3,Nuclear,Steam Turbine,PP,FR,910,,,0,0,0,1978,1978,,2038,45.79722222,5.27,,
64,Bugey 4,Nuclear,Steam Turbine,PP,FR,880,,,0,0,0,1979,1979,,2039,45.79722222,5.27,,
65,Bugey 5,Nuclear,Steam Turbine,PP,FR,880,,,0,0,0,1979,1979,,2039,45.79722222,5.27,,
66,Cattenom 1,Nuclear,Steam Turbine,PP,FR,1300,,,0,0,0,1986,1986,,2046,49.41555556,6.216666667,,
67,Cattenom 2,Nuclear,Steam Turbine,PP,FR,1300,,,0,0,0,1987,1987,,2047,49.41555556,6.216666667,,
68,Cattenom 3,Nuclear,Steam Turbine,PP,FR,1300,,,0,0,0,1990,1990,,2050,49.41555556,6.216666667,,
